ranking,club_image,name,Competition_image,Competition,club_value
84,https://tmssl.akamaized.net/images/wappen/tiny/209.png?lm=1407647555,Club Atlético River Plate,https://tmssl.akamaized.net/images/flagge/tiny/9.png?lm=1520611569,,€114.45m
85,https://tmssl.akamaized.net/images/wappen/tiny/969.png?lm=1459072367,Montpellier HSC,https://tmssl.akamaized.net/images/flagge/tiny/50.png?lm=1520611569,Ligue 1,€112.30m
86,https://tmssl.akamaized.net/images/wappen/tiny/16704.png?lm=1499524238,FK Krasnodar,https://tmssl.akamaized.net/images/flagge/tiny/141.png?lm=1520611569,Premier Liga,€111.20m
87,https://tmssl.akamaized.net/images/wappen/tiny/33.png?lm=1433588238,FC Schalke 04,https://tmssl.akamaized.net/images/flagge/tiny/40.png?lm=1520612525,Bundesliga,€108.43m
88,https://tmssl.akamaized.net/images/wappen/tiny/3368.png?lm=1408655062,Levante UD,https://tmssl.akamaized.net/images/flagge/tiny/157.png?lm=1520611569,LaLiga,€107.50m
89,https://tmssl.akamaized.net/images/wappen/tiny/667.png?lm=1468478606,RC Strasbourg Alsace,https://tmssl.akamaized.net/images/flagge/tiny/50.png?lm=1520611569,Ligue 1,€107.20m
90,https://tmssl.akamaized.net/images/wappen/tiny/3.png?lm=1396275280,1. FC Köln,https://tmssl.akamaized.net/images/flagge/tiny/40.png?lm=1520612525,Bundesliga,€107.15m
91,https://tmssl.akamaized.net/images/wappen/tiny/1148.png?lm=1494584378,Brentford FC,https://tmssl.akamaized.net/images/flagge/tiny/189.png?lm=1520611569,Championship,€106.30m
92,https://tmssl.akamaized.net/images/wappen/tiny/1038.png?lm=1520934353,UC Sampdoria,https://tmssl.akamaized.net/images/flagge/tiny/75.png?lm=1520611569,Serie A,€104.90m
93,https://tmssl.akamaized.net/images/wappen/tiny/618.png?lm=1503255676,AS Saint-Étienne,https://tmssl.akamaized.net/images/flagge/tiny/50.png?lm=1520611569,Ligue 1,€104.60m
94,https://tmssl.akamaized.net/images/wappen/tiny/234.png?lm=1457643518,Feyenoord Rotterdam,https://tmssl.akamaized.net/images/flagge/tiny/122.png?lm=1520611569,Eredivisie,€104.33m
95,https://tmssl.akamaized.net/images/wappen/tiny/419.png?lm=1571921138,GNK Dinamo Zagreb,https://tmssl.akamaized.net/images/flagge/tiny/37.png?lm=1520611569,1.HNL,€103.70m
96,https://tmssl.akamaized.net/images/wappen/tiny/86.png?lm=1403082298,SV Werder Bremen,https://tmssl.akamaized.net/images/flagge/tiny/40.png?lm=1520612525,Bundesliga,€103.60m
97,https://tmssl.akamaized.net/images/wappen/tiny/167.png?lm=1403085893,FC Augsburg,https://tmssl.akamaized.net/images/flagge/tiny/40.png?lm=1520612525,Bundesliga,€101.50m
98,https://tmssl.akamaized.net/images/wappen/tiny/141.png?lm=1406739071,Galatasaray SK,https://tmssl.akamaized.net/images/flagge/tiny/174.png?lm=1520611569,Süper Lig,€99.03m
99,https://tmssl.akamaized.net/images/wappen/tiny/1421.png?lm=1592601839,Stade Reims,https://tmssl.akamaized.net/images/flagge/tiny/50.png?lm=1520611569,Ligue 1,€97.35m
100,https://tmssl.akamaized.net/images/wappen/tiny/1184.png?lm=1464899410,KRC Genk,https://tmssl.akamaized.net/images/flagge/tiny/19.png?lm=1520611569,Jupiler Pro League,€97.30m
